seq,red_raw,ir_raw,red_fir,ir_fir
23254,-40964,-24976,-17783.393692,-19.037536
23255,-40966,-24983,-17786.814237,-10810.332161
23256,-40975,-24988,-17787.899358,-10812.811660
23257,-40980,-24995,-17786.957508,-26.614889
23258,-40982,-25002,-17784.434648,-10812.726991
23259,-40991,-25004,-17780.864436,-10810.795187
23260,-40994,-25010,-17776.820722,-21.248891
23261,-40999,-25016,-17772.868691,-10805.264230
23262,-41007,-25021,-17769.520674,-10802.573404
23263,-41011,-25028,-17767.199929,-13.584048
23264,-41015,-25031,-17766.210423,-10799.348911
23265,-41026,-25041,-17766.715999,-10799.384398
23266,-41024,-25049,-17768.735999,-13.809010
23267,-41029,-25050,-17772.147222,-10803.336035
23268,-41041,-25056,-17776.703586,-10807.122839
23269,-41042,-25063,-17782.070984,-24.943569
23270,-41045,-25059,-17787.868426,-10817.218322
23271,-41050,-25069,-17793.717563,-10822.895429
23272,-41041,-25069,-17799.295787,-41.651334
23273,-41033,-25057,-17804.379724,-10833.932773
23274,-41012,-25054,-17808.879835,-10838.838081
23275,-40978,-25036,-17812.854846,-56.299283
23276,-40948,-25006,-17816.501955,-10847.088732
23277,-40916,-24989,-17820.126687,-10850.651979
23278,-40882,-24967,-17824.090255,-67.235610
23279,-40857,-24938,-17828.739447,-10857.838922
23280,-40838,-24929,-17834.332784,-10862.001302
23281,-40818,-24915,-17840.970285,-79.900163
23282,-40813,-24903,-17848.535632,-10872.296357
23283,-40806,-24909,-17856.668042,-10878.340491
23284,-40801,-24908,-17864.763107,-97.714308
23285,-40811,-24906,-17872.008348,-10890.639497
23286,-40822,-24919,-17877.456518,-10895.760585
23287,-40817,-24918,-17880.122516,-112.365163
23288,-40828,-24921,-17879.094453,-10900.460744
23289,-40835,-24938,-17873.651008,-10898.708200
23290,-40839,-24943,-17863.362581,-106.663437
23291,-40850,-24947,-17848.165596,-10884.844022
23292,-40862,-24962,-17828.403319,-10872.621870
23293,-40867,-24963,-17804.819180,-70.393036
23294,-40878,-24970,-17778.506059,-10839.555534
23295,-40884,-24978,-17750.820208,-10820.305420
23296,-40881,-24981,-17723.261416,-13.712156
23297,-40880,-24980,-17697.337953,-10781.621235
