seq,red_raw,ir_raw,red_fir,ir_fir
699,-465638,-465711,-24.483359,-24.660469
700,-465639,-465710,-201209.671875,-201241.234375
701,-465645,-465705,-201213.562500,-201245.421875
702,-465625,-465704,-35.967734,-37.191719
703,-465629,-465703,-201219.468750,-201251.953125
704,-465638,-465698,-201221.718750,-201254.171875
705,-465621,-465696,-42.530234,-44.160469
706,-465625,-465697,-201224.953125,-201257.250000
707,-465632,-465690,-201226.468750,-201258.578125
708,-465614,-465688,-47.202109,-48.316719
709,-465617,-465686,-201229.781250,-201261.328125
710,-465625,-465679,-201231.562500,-201262.906250
711,-465609,-465681,-52.280234,-52.738594
712,-465612,-465684,-201234.312500,-201265.687500
713,-465622,-465683,-201234.703125,-201266.218750
714,-465601,-465681,-52.623984,-54.191719
715,-465607,-465683,-201230.640625,-201263.718750
716,-465620,-465682,-201225.515625,-201259.671875
717,-465606,-465689,-37.077109,-41.613594
718,-465612,-465690,-201207.828125,-201244.328125
719,-465625,-465687,-201195.468750,-201232.859375
720,-465610,-465691,-0.436484,-7.785469
721,-465618,-465690,-201166.000000,-201204.859375
722,-465630,-465690,-201150.687500,-201189.671875
723,-465615,-465696,44.501016,36.714531
724,-465621,-465697,-201124.093750,-201161.937500
725,-465631,-465693,-201115.062500,-201151.750000
726,-465615,-465699,70.719766,66.402031
727,-465622,-465698,-201109.937500,-201143.437500
728,-465635,-465694,-201115.078125,-201146.687500
729,-465617,-465700,55.672891,56.667656
730,-465621,-465697,-201140.390625,-201168.406250
731,-465632,-465692,-201159.781250,-201186.562500
732,-465612,-465697,-2.248984,3.339531
733,-465616,-465694,-201208.859375,-201233.375000
734,-465626,-465685,-201236.453125,-201260.593750
735,-465605,-465689,-84.030234,-77.019844
736,-465607,-465681,-201292.937500,-201316.968750
737,-465615,-465677,-201320.125000,-201344.531250
738,-465599,-465684,-164.952109,-159.285469
739,-465603,-465675,-201369.531250,-201395.406250
740,-465612,-465669,-201391.093750,-201417.750000
741,-465591,-465674,-229.248984,-225.894844
742,-465593,-465667,-201426.640625,-201454.984375
743,-465602,-465662,-201440.984375,-201469.625000
744,-465584,-465669,-271.905234,-270.144844
745,-465591,-465664,-201462.062500,-201491.328125
746,-465600,-465659,-201468.968750,-201498.468750
747,-465584,-465668,-292.873984,-291.222969
748,-465588,-465664,-201476.218750,-201505.109375
749,-465596,-465661,-201476.500000,-201505.250000
750,-465578,-465668,-294.233359,-291.676094
751,-465581,-465658,-201471.750000,-201499.781250
